ductile,"If you can bend or shape a substance, it is ductile. Play-Dough is ductile. Wooden blocks are not.",
conspiratorial,Something that's conspiratorial involves a secret plan with other people. A conspiratorial glance between siblings is bound to make their babysitter nervous.,
jaundiced,"So you wake up in the morning and look in the mirror. To your surprise, and horror, instead of your usual rosy complexion, your skin is yellow and the whites of your eyes are yellow, too! You, my friend, are jaundiced.",
nefarious,Describe a person's actions as nefarious if they are evil or wicked. Batman and Superman are always fighting evildoers and stopping their nefarious plots.,
stereotypical,"Stereotypical describes an action or a characterization that is oversimplified, widely imitated, or handed down by tradition.",
sentimental,"Call a person sentimental if he or she is led more by emotions than by reason. If you have a sentimental attachment to a favorite stuffed animal, you'll probably even bring it to college with you.",
impartial,"If you're in a contest you'd better hope the judges are impartial, that is, that they aren't biased toward one competitor over another.",
maudlin,"You can use maudlin to describe something that brings tears to your eyes, or makes you feel very emotional. Tearjerkers like ""Forrest Gump"" and ""Titanic"" can be described as maudlin.",
meritorious,Anything that's deserving of praise or a reward could be described as meritorious.,
precarious,"Grab for the adjective precarious when something is unstable, dangerous or difficult and likely to get worse. Are you totally broke and the people you owe money to keep calling? You're in a precarious financial situation!",
plausible,"If something is plausible, it's reasonable or believable. Things that are plausible could easily happen. A woman becoming President is very plausible. A giraffe becoming President is not.",
schematic,"Use the adjective schematic to describe a drawing that's very simple and symbolic. That drawing your cousin made of a house with a pointy roof, smiling stick figures, and a round yellow sun? Very schematic.",
acquitted,"An acquitted defendant is off the hook. If you're on trial for a crime and you're found ""not guilty,"" then you're acquitted and you can go free.",
steadfast,"Someone who is firm and determined in a belief or a position can be called steadfast in that view, like your mom when she thinks you really shouldn’t wear that outfit.",
tenuous,"If something is tenuous it's thin, either literally or metaphorically. If you try to learn a complicated mathematical concept by cramming for 45 minutes, you will have a tenuous grasp of that concept, at best.",
complicit,"Complicit definition, choosing to be involved in an illegal or questionable act, especially with others; having complicity. See more.",
nullified,deprived of legal force,
subversion,"Subversion means overthrowing something, like a government or law, or it can mean corrupting someone’s personal morals, like making a vegetarian eat bacon by tricking her.",
premonition,"Some people claim to have premonitions, such as a dream about a friend they haven't seen in years the night before the friend dies. A premonition is a warning that comes in advance, or a feeling that something is going to happen.",
predilection,"A predilection is a preference for or bias toward something. If you have a predilection for wool clothing, you should take up knitting.",
infusion,"The most common example of an infusion you are likely to encounter in your daily life is your morning cup of coffee. An infusion is the creation of a new substance by steeping another substance in a liquid, usually water.",
inversion,"A reversal of position is called an inversion. If a bookstore's employees join together to purchase the store, there's an inversion of power: the employees become owners, and the former owners are their employees.",
insurgence,an organized rebellion aimed at overthrowing a constituted government through the use of subversion and armed conflict,
malevolence,"Malevolence is a nasty, wicked, evil quality. When you're full of malevolence, you wish harm on others.",
reciprocation,alternating back-and-forth movement,
declamation,recitation of a speech from memory with studied gestures and intonation as an exercise in elocution or rhetoric,
preference,"If you have a strong liking for something, you have a preference for it. You might have a preference for apples, but there are some days when you're stuck eating a banana instead.",
bankruptcy,"Bankruptcy is a state of being bankrupt, or having no money to pay back debts that you owe.",
usury,"Usury means lending money at exorbitant interest rates. Credit-card companies charging annual interest rates of 29% are guilty of usury, as far as I'm concerned.",
novice,"If you're a novice at snowboarding, you're just learning the sport. On the Internet, a novice might be called a newbie, but your parents would call one a beginner.",
kleptomania,"Kleptomania is an addiction to stealing. People with kleptomania can’t help but steal stuff, whether they need it or not.",
flagrancy,"Flagrancy definition, shockingly noticeable or evident; obvious; glaring: a flagrant error. See more.",
impertinent,"If someone's rude without being openly nasty, like a kid in the back row of class quietly heckling his teacher, you can call him impertinent.",
supplicant,"If you pray every night to be accepted to your dream college, you can call yourself a supplicant, or a person who asks humbly for something.",
preeminent,"Calling someone preeminent means they're truly outstanding or better than everyone else — not in general, but in a specific field or specialty. Such as a preeminent geologist.",
illustrative,A fight with your brother over who ate the most food may be illustrative of your competitive relationship with him. Something illustrative means it is a telling example of something else.,
kaleidoscopic,"Kaleidoscopic things are complicated and undergo constant changes. A controversial movie might result in a kaleidoscopic range of reactions, especially on the Internet.",
hirsute,"What do Santa Claus, Bigfoot, and unicorns have in common?  Aside from the fact that they’re completely real, they’re also hirsute: very, very hairy creatures.",
acrimonious,"Locked in a mean-spirited, bitter argument? That's an acrimonious situation that might result in fists flying unless you and your opponent can cool down.",
plaintive,"Plaintive is an adjective for describing someone or something with a pleading, sorrowful, desperate tone. If you have ever heard the plaintive howl of a wolf, then you know what we are getting at here.",
deciduous,"Hemlock, blue spruce, and white pine are all evergreens. These trees have leaves throughout the year. Oak, maple, and elm are examples of deciduous trees. They lose their foliage in the fall and grow new leaves in the spring.",
votive,Anything votive has been dedicated or consecrated as part of the fulfillment of a vow.,
indispensable,"Indispensable is a strong adjective for something that you couldn't do without. If you have asthma and you're packing for summer vacation, your inhaler is indispensable, unless you enjoy gasping on the beach.",
indiscriminate,"Nuclear bombs are indiscriminate, as are earthquakes. They affect everyone in their path rather than picking or choosing. When something is indiscriminate, it makes no fine distinctions.",
commensurate,"The word commensurate has to do with things that are similar in size and therefore appropriate. Many people think the death penalty is a commensurate punishment for murder. In other words, the penalty fits the crime.",
propulsive,The adjective propulsive describes something that has the power to drive something forward. You would not want a propulsive jet engine on your model airplane — it’s just too much power for something that should stay in the basement.,
indisputable,"If you say something is indisputable, you’d better be pretty sure about it. Indisputable is used to describe something that is so obviously true that there is no room for questions or debate.",
aloof,"Someone who's aloof isn't warm and friendly, instead being distant and reserved. That emotionally cold and detached fellow who keeps to himself, drinking espresso and reading French philosophy, would best be described as aloof.",
jesting,characterized by jokes and good humor,
grave,"A grave is the place where a body is buried. Usually, a grave is dug in the ground, and a stone with information about the deceased person marks its location.",
earnest,"If you are earnest, it means you are serious about something. Your parents might not want you to drop out of school to follow some fly-by-night dream, but if you're earnest about wanting a career in show biz, they'll support you.",
conservative,"If you are conservative, you aren’t necessarily a card-carrying member of the Republican party (though you might be); it means you resist change.",
prone,"If you're prone to doing something, it means you're likely to do it, have a habit of doing it, or are susceptible to it. People who are prone to getting the flu every winter should probably get a flu shot in the fall.",
urbane,"Urbane people are sophisticated, polished, cultured, refined. Spend enough time in an urban setting–-going to concerts and museums, spending time in crowds––and you'll be urbane too.",
eminent,"Anyone highly regarded or prominent is eminent. Eminent people are very successful at their jobs. If you’ve heard of Neil deGrasse Tyson, it’s probably because he’s an eminent astrophysicist.",
erect,"Erect means ""build"" or ""upright."" If you erect a house, you build it. If you stand erect, you hold your body as tall as possible.",
daunted,caused to show discomposure,
decorous,"Something that is decorous is dignified, proper, and in good taste, like your decorous great-aunt who always wears a dress — even when she's only headed to the grocery store.",
rogue,"A rogue is a sneaky person who has tricks up his sleeve, not like a magician, but like someone who would steal your wallet or cheat at cards.",
droll,"Need a mental picture for the word droll? Think of one of those cute-homely troll dolls — blend those two words together — ""doll"" and ""troll"" — and you get droll, a description of a figure that is adorably strange and whimsically cute.",
antebellum,"Use the adjective antebellum to describe something that happened before the American Civil War. You could talk about touring a historic antebellum plantation house in Georgia, for example.",
onerous,"If one teacher gives you three hours of homework a night, that's rough. But if all of your teachers do it, that makes the task of completing your homework an onerous one, to say the least. If something is onerous, it is very difficult to deal with or do.",
encroached,"To encroach is to overstep your bounds, to take over space or rights that belong to another, like your brother whose mess always encroaches on your side of the room you share.",
jettisoned,"Jettison means to push to the side or toss away. If a boat is leaking or an airplane is running out of fuel, you can buy more time by jettisoning cargo, or throwing it overboard.",
conjoined,Anything conjoined consists of more than one entity. Conjoined twins are physically connected.,
repudiated,"To repudiate something is to reject it, or to refuse to accept or support it. If you grow up religious, but repudiate all organized religion as an adult, you might start spending holidays at the movies, or just going to work.",
teemed,"If your neighborhood seems to teem with cats, that means there are a lot of cats running around. Teem refers to a large number.",
proficient,"When someone has become good at something, they are proficient. After all those hours playing video games, you must be very proficient at them.",
reflective,"Reflective is an adjective that can describe a person who thinks things through, or a surface that reflects light or sound, like the reflective lettering on a stop sign.",
dormant,"That old dog was dormant for so long he was confused for a furry doormat, but a doormat is likely to stay dormant, or inactive, because it is lifeless: that old dog has some life in him yet.",
redundant,The word redundant applies to things that are unnecessary or could be left out. Calling a blank sheet of paper empty is redundant.,
valiant,"It was pretty courageous of the automaker Plymouth to name a car the ""Valiant"" in the 1960s and 70s because that term usually refers to a hero or describes a really determined, or valiant, effort that doesn't end well.",
prescribe,"To prescribe is make orders or give directions for something to be done. These days, the word is mainly used by doctors who prescribe medications to take.",
probe,"If you probe something, you investigate it thoroughly.  If you go into business with someone, you might probe her finances to make sure that she has a good track record.",
alienate,"When you alienate people, you make them stop liking or caring about you. Show up at a conference of cat lovers with a sign around your neck that says, ""I hate kittens,"" and you'll learn firsthand what that means.",
converge,Use the verb converge to describe something that comes together at a common point: “Thousands of Elvis fans plan to converge on the small Arkansas town where unconfirmed sightings of the deceased superstar eating at a local barbeque restaurant had been widely reported.”,
revere,"Revere means that to respect someone so deeply that you almost worship them. Despite the size of the American military, the American people revere peacemakers like Martin Luther King, Jr. and Mahatma Gandhi. Rock stars are revered by throngs of devoted fans.",
jovial,"Use jovial to describe people who show good humor and are full of joy. Santa Claus, with his constant ""ho-ho-hoing"" is a jovial figure.",
stealthy,"Use the adjective stealthy to describe something or someone that is marked by secrecy, even sneakiness. Ninjas are stealthy, moving quietly and cautiously, which makes them excellent spies.",
paltry,"A paltry amount is so small it's not even worth thinking about. In the novel ""Oliver Twist,"" when Oliver is given a paltry amount of gruel — not nearly enough — he asks, ""Please, sir, can I have some more?""",
gullible,"If you are gullible, the joke is on you because you are easily fooled.",
depleted,The adjective depleted describes something that's been used up. A stressed-out mother of four little kids might find her patience depleted after a crazed birthday party at the roller rink.,
vulnerable,"Use the adjective vulnerable to describe something or someone open to being physically or emotionally wounded, like a newborn chick or an overly sensitive teenager.",
churlish,A churlish person is one whose middle name might as well be Rude. He’s the one who was never taught to mind his manners and avoid telling vulgar jokes at the dinner table.,
invulnerable,"Something that's invulnerable is impossible to damage or injure, like the strongest, most rock solid concrete fort reinforced with steel bars. Or Mother Theresa's reputation.",
static,"Static means not moving or changing––it's often used to describe abstract ideas that can't be seen. ""The troops were moving all over the country, engaged in skirmishes, but the army's overall position remained static.""",
imprudent,"To be imprudent means lacking self-restraint when it would be wise to have it, like that time you started dancing on the table during a math test. Remember that? Everybody else does.",
corrupt,"If someone or something is corrupt, they’re broken morally or in some other way. Corrupt people perform immoral or illegal acts for personal gain, without apology. Corrupt politicians take bribes and deny it.",
tedious,"If something is tedious, it's boring. If you're anxious to get outside and enjoy the sun, even the best lecture will seem tedious.",
unhallowed,"Something that's unhallowed hasn't been blessed by a bishop or other religious authority. If a body is buried in ""unhallowed ground,"" it's not a church-sanctioned cemetery or graveyard.",
sardonic,"If someone is being scornful and mocking in a humorous way, call her sardonic. If you want to write comic sketches for late-night talk shows, work on being sardonic.",
judicious,"If you're judicious, you've got a good head on your shoulders and make good decisions. Humpty Dumpty's decision to sit on a wall? NOT judicious.",
copious,"If you have a copious amount of something, you have a lot of it. If you take copious notes, you'll do well when it comes time for review sessions — unless you can't read your own handwriting.",
flagrant,"Something flagrant is bad — so bad you can't ignore it. A flagrant foul in sports might send you to the bench, and a flagrant violation of the law might send you to the slammer.",
raucous,"Raucous means unpleasantly loud, or behaving in a noisy and disorderly way. It can be hard to give an oral report in the front of a classroom when the kids in the back are being raucous.",
nominal,"Schools, libraries, and other organizations often ask you to make a nominal donation to their cause. While you want to support many causes, these nominal donations soon add up to a substantial portion of your budget!",
morose,"A morose person is sullen, gloomy, sad, glum, and depressed — not a happy camper.",
resurgent,Something resurgent comes back to life or is reinvigorated. An old song's popularity might be resurgent after it's featured on the soundtrack of a popular new movie.,
premature,"Premature means ""not yet ready."" Something that is premature arrives early, like a premature baby born before her due date, or the soggy cake you took out of the oven prematurely.",
malignant,"For something that's very harmful, especially a tumor that's cancerous, use the term malignant.",
punctilious,A punctilious person pays attention to details. Are you always precisely on time? Is your room perfectly neat? Do you never forget a birthday or a library book's due date? Then you are one of the punctilious people.,
antecedent,"An antecedent is a thing that comes before something else. You might think rap music has no historical antecedent, but earlier forms of African American spoken verse go back for centuries.",
bemused,"If you're bemused, you're muddled or preoccupied. It happens when you're lost in thought, dazed, or overwhelmed (say, on the first day of high school).",
prosaic,"Prosaic means ordinary or dull. Most of us lead a prosaic everyday life, sometimes interrupted by some drama or crisis.",
apocryphal,"Urban legends — stories about phantom hitchhikers, deep-fried rats, and spider eggs in bubblegum — are classic examples of apocryphal tales. They're told as if they're true, but no one can ever identify their origins.",
ebullient,"More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight.",
tantamount,"When something is tantamount to another thing it is essentially its equivalent. For some animal activists, wearing fur is tantamount to murder.",
dedicate,"To dedicate is to assign, to commit or to give over. If you dedicate a song you’ve written to a friend, it means the song belongs to them. If you dedicate yourself to a project, it means you give yourself to it.",
rejuvenate,"When you make something young again or give it more life and energy, you rejuvenate it. For example, you can often rejuvenate a not-quite-dead plant, bringing it back to health with some water and some TLC.",
ponder,"""Once upon a midnight dreary, while I pondered, weak and weary"" is the first line of Edgar Allen Poe's poem The Raven. Many a deep thinker has repeated it while musing. But if you've given up deep thinking, you may say instead, ""Nevermore.""",
excel,"If you excel at math, you are doing it better than anyone else. You might even be moving so much faster than the rest of your class, you're put into a special, accelerated math program.",
procrastinate,"Procrastinate means putting off doing something until a future time. When people sit down to write term papers, they can find all kinds of clever ways to procrastinate: reorganizing the paperclips, calling everyone they know, typing ""I am bored"" fifty times in a row.",
trecherous,[],
scintillating,Something scintillating is flashing briefly and sharply with light. Scintillating conversations are smart and captivating.,
tactful,"If you are tactful, you have a knack for saying the right thing at the right time. A tactful person is appropriate and sensitive, never rude or careless.",
tacit,Something tacit is implied or understood without question. Holding hands might be a tacit acknowledgment that a boy and girl are dating.,
taboo,"Something considered taboo is naughty, something society considers a no-no. For example, it is taboo to ask people how much money they earn.",
harbinger,A harbinger is something that comes before and that shows what will follow in the future. The robin is a harbinger of spring––its presence means spring is coming soon.,
apogee,"For an object in orbit around the earth, the apogee is the point that is highest or furthest from the earth. Early satellites had low apogees, so it wasn’t long before they burnt up in the atmosphere.",
metamorphosis,"In Kafka's novel entitled Metamorphosis, a man wakes up to find he has turned into a cockroach. That kind of complete and startling change pretty much sums up the word.",
dictum,"""You are what you eat"" is a dictum, and so is a law requiring you to curb your dog. A dictum is a formal pronouncement, a rule, or a statement that expresses a truth universally acknowledged.",
synthesis,"Synthesis is the act of combining elements to form something new. If you describe your bedroom decor as a synthesis of Andy Warhol and Punk Rock, we'll know you mean a mixture of these two styles.",
somber,"Funerals are often somber affairs. Also your face after your teacher hands back an exam you failed. Somber is used to describe situations, facial expressions, or moods that are dark, gloomy, or depressing.",
jubilant,"If you were the quarterback that threw the touchdown pass that won the Super Bowl, you would be jubilant: filled with joy.",
pitiless,"Pitiless means ""without mercy"" or ""cruel."" Movie critics are often described as pitiless, because if they hate a film, they don't hold back or consider the feelings of the people who poured their hearts into making it.",
cunning,"In fairy tales, always watch out for the cunning fox or the cunning witch. Cunning means clever,  in the sense of trickery. A cunning plan might involve setting traps for the innocent and pure at heart to fall into.",
unsullied,"Your reputation is unsullied, or unsoiled, because you study hard, you don’t skip school, and you are generally kind to everyone. Your friend’s reputation hasn’t stayed unsullied since he got caught selling answers to tests.",
facetious,"If someone is being facetious they’re being playful with an edge. A knock-knock joke isn’t facetious, but if you call it the most advanced form of comedy, you’re probably being facetious.",
abstruse,Abstruse things are difficult to understand because they are so deep and intellectually challenging. It might be hard to figure out how a toilet flushes but the technology that goes into making the Internet function is abstruse.,
magnanimous,"A magnanimous person has a generous spirit. Letting your little sister have the last of the cookies, even though you hadn't eaten since breakfast, would be considered a magnanimous act.",
fawning,"Use fawning to describe someone who's over the top in the flattery department. Like a fawning admirer who just won't stop complimenting your looks, showering you with gifts and otherwise kissing the ground you walk on.",
saccharine,"You might be tempted to turn the radio dial when you hear a love song that is saccharine, meaning that it’s too sweet and sentimental to bear.",
tempest,"Shakespeare's The Tempest begins with one –– a tempest, or a violent and windy storm.",
epitome,"If you're talking about a typical example of something, call it the epitome. The cartoon character Garfield is the epitome of the fat, lazy, food-obsessed cat.",
quintessence,"The quintessence of something is its perfect, ideal example. Some people say that the quintessence of American cuisine is the hamburger. Vegetarians may beg to differ.",
travesty,"A travesty is a cheap mockery, usually of something or someone serious, such as a travesty of justice.",
recitative,a vocal passage of narrative text that a singer delivers with natural rhythms of speech,
mottled,"Something that is mottled has spots or patches with different shades or colors, like the reddish blotches that can appear on your skin if it’s exposed to extreme temperatures.",
bleak,"Something that is bleak is gloomy and depressing. If it's raining and dark, you might describe the night as bleak. If you have looked for work and no one will hire you, you could describe your prospects as bleak.",
credible,"Someone who's credible is honest and believable. A pathological liar, for example, might not be the most credible witness for your case against the bank robber.",
malleable,"A malleable personality is capable of being changed or trained, and a malleable metal is able to be pounded or pressed into various shapes. It's easier to learn when you're young and malleable.",
communicable,"A cold is a communicable disease, i.e. it's contagious, so you can pass it on to others. If you are a politician, your basic message should be communicable or communicated easily to others.",
bantered,"Good friends usually banter back and forth easily, like they're trying to keep a step ahead of each other in witty responses. This type of banter is their special language of friendship.",
touted,"To tout means to praise, boast, or brag about. If you like to tout your skill as a skier, you tell people you can go down expert-level hills.",
flourished,"A flourish is an extra touch — a trumpet's ""ta-ta-da!"" announcing a king's entrance, a fancy carving atop an otherwise utilitarian pillar, a wave of a flag or a cheerleader's pompom.",
embellished,"The word ""bell"" shows up in the middle of embellish, and bells are something that decorate, or embellish something, making it more attractive. If you embellish speech, though, it can get ugly if you add a lot of details that aren't true.",
colluded,When you collude with someone you secretly plot together to do something bad. You might collude with your twin sister to find out where all the birthday presents are hidden.,
censured,"Censure is a noun referring to very strong criticism; the verb means to criticize very strongly. If you take your dad's car without telling him, you can expect him to censure you severely, and maybe even ground you as well.",
striated,"If a field is plowed into furrows, it's striated––or, technically, it's marked with striae, which are stripes or grooves.",
feigned,"Feigned is an adjective that means ""not genuine,"" like your feigned interest in your friends' discussion of celebrity hairstyle trends.",
prevaricated,"When you prevaricate, you lie or mislead. Now, go ahead and tell me whether you already knew that meaning, and don’t prevaricate about it — give me the story straight!",
flummoxed,"Does the word flummox bewilder, confound, dumbfound and generally mystify you? Well, fear no more, because flummox means all of these things!",
protagonist,A protagonist is the central character in a story: the protagonist of Huckleberry Finn is — guess who? — Huckleberry Finn.,
enigma,Use the noun enigma to refer to something that is a puzzle or a mystery. Why do you have to learn difficult words like this? That is an enigma.,
facade,"A facade is the front of a building, or a kind of front people put up emotionally. If you're mad but acting happy, you're putting up a facade.",
activist,"An activist is a person who campaigns for some kind of social change. When you participate in a march protesting the closing of a neighborhood library, you're an activist.",
catechist,one who instructs catechumens in preparation for baptism (especially one using a catechism),
wreak,"To wreak is to cause something to happen, usually with a terrible consequence. You can make mischief, cause problems, or inflict pain, but to wreak damage suggests a deeper level of destruction.",
warrant,"If you watch cop shows, you know that a warrant is something police need to get into your house — a permission slip from a judge.",
ensue,"If something happens after something else, it will ensue, meaning it will follow after or be the result. When a sneeze comes out, and he hears the ""Achoo!,"" a ""Bless you"" or ""Gesundheit"" soon will ensue.",
placate,"When a husband shows up with flowers after he's fought with his wife, he's trying to placate her. If you placate someone, you stop them from being angry by giving them something or doing something that pleases them.",
endow,"To endow is to furnish, but not with furniture. If you've been endowed with something, it means you've been given a gift — most likely a gift that can't be returned or exchanged, like a sense of humor or athletic ability or trust.",
